melody: main.go:31: {CUTTING KDJ0132309472 KDJ013230947.2 04 Mar 2022  4 12 2.45 A}
2023/04/05 11:57:37 {CUTTING KDJ0132309472 KDJ013230947.2 04 Mar 2022  4 12 2.45 A}
2023/04/05 13:04:32 Error unmarshalling: zpl.Printable.CuttingDate: ReadString: expects " or n, but found 1, error found in #10 byte of ...|ng_date":16800661375|..., bigger context ...|,"loin":2,"weight":1,"grade":"SK","cutting_date":1680066137556,"common_ilc":"RIO90023080YT8.8","ilc"|...
2023/04/05 13:06:18 Error unmarshalling: zpl.Printable.CuttingDate: ReadString: expects " or n, but found 1, error found in #10 byte of ...|ng_date":16800661375|..., bigger context ...|,"loin":2,"weight":1,"grade":"SK","cutting_date":1680066137556,"common_ilc":"RIO90023080YT8.8","ilc"|...
2023/04/05 13:08:41 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 8 2 1 SK}
2023/04/05 13:09:27 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 8 2 1 SK}
2023/04/05 13:30:31 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 8 2 1 SK}
2023/04/05 13:30:52 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 7 1 1 SK}
2023/04/05 13:32:48 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 7 1 1 SK}
2023/04/05 13:33:53 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 5 6 1 SK}
2023/04/05 13:34:44 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 4 5 3 PT}
2023/04/05 13:35:20 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 8 2 1 SK}
2023/04/05 13:37:28 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 1 1 2 PT}
2023/04/05 13:38:38 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 1 1 2 PT}
2023/04/05 13:38:39 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 1 2 2 SK}
2023/04/05 13:41:07 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 1 2 2 SK}
2023/04/05 13:42:48 {CUTTING RIO90023080YT88 RIO90023080YT8.8 29/3/2023 29/3/2023 2 3 6 PT}
